id,city,country,pincode
ADD-1,Marogong,MY,257718
ADD-2,Adar,SG,573478
ADD-3,Medan,PH,165841
ADD-4,Río Grande,PH,481285
ADD-5,Kupu,US,304180
ADD-6,Achanizo,US,300467
ADD-7,Bang Pahan,UK,641993
ADD-8,Ventanas,PH,454830
ADD-9,Siemianowice Śląskie,US,482326
ADD-10,Zhaoguli,TH,394034
ADD-11,Goiás,TH,609163
ADD-12,Sukarame,US,169003
ADD-13,Feričanci,ID,134008
ADD-14,Gyangkar,CN,598801
ADD-15,Kaparéllion,TH,265709
ADD-16,Jambulang,MY,146745
ADD-17,Oslo,MY,627923
ADD-18,Mojoroto,TH,436094
ADD-19,Huage,US,529192
ADD-20,Dayin,PH,558118
ADD-21,El Águila,TH,346837
ADD-22,Al Majd,SG,331198
ADD-23,Cucutilla,SG,254080
ADD-24,Beloeil,CN,457227
ADD-25,Telukpakedai,CN,542256
ADD-26,Pingdu,MY,605734
ADD-27,Pongkor,PH,244487
ADD-28,Huimin,PH,221123
ADD-29,Qiting,US,442043
ADD-30,Amagarapati,UK,222055
ADD-31,Cimuncang,PH,356773
ADD-32,Kano,US,235980
ADD-33,Kari,PH,261931
ADD-34,Taiping,PH,320821
ADD-35,Yanjiatai,PH,623494
ADD-36,Carlsbad,TH,645743
ADD-37,Dongxiang,MY,328700
ADD-38,Islāmkot,PH,109326
ADD-39,Dadong,CN,510473
ADD-40,Pira,TH,548587
ADD-41,Dzaoudzi,SG,512647
ADD-42,Bungsuan,TH,478155
ADD-43,Mulawato,TH,342119
ADD-44,Salavat,US,594368
ADD-45,Lawonda,PH,184619
ADD-46,Zaječí,TH,418908
ADD-47,Chodów,SG,394080
ADD-48,Baishui,TH,189451
ADD-49,San Jose,UK,445653
ADD-50,Jitian,CN,153721
ADD-51,Fundación,SG,190757
ADD-52,El Fureidīs,CN,229322
ADD-53,Marićka,MY,530587
ADD-54,Iwierzyce,US,330384
ADD-55,Banga,MY,371670
ADD-56,Oslo,PH,243636
ADD-57,Bielefeld,SG,156428
ADD-58,Ziroudani,MY,348552
ADD-59,Murça,UK,252329
ADD-60,Zhireken,TH,416262
ADD-61,West Kelowna,UK,449352
ADD-62,Domont,ID,368183
ADD-63,R S,CN,638988
ADD-64,Baini,ID,405684
ADD-65,Nanjing,UK,665159
ADD-66,Padhahegha,PH,256405
ADD-67,Pantai,SG,656809
ADD-68,Kuantan,ID,650315
ADD-69,Baratleke,PH,198118
ADD-70,San Ramon,SG,435586
ADD-71,Waterloo,TH,342371
ADD-72,Jiangyan,US,586965
ADD-73,Londiani,UK,225294
ADD-74,Néa Filadélfeia,ID,478268
ADD-75,Corredoura,UK,157470
ADD-76,Nantes,CN,251347
ADD-77,Madimba,US,363050
ADD-78,Jiaoqi,US,152756
ADD-79,Tiandian,PH,618745
ADD-80,Washington,TH,476252
ADD-81,Almargem do Bispo,CN,262745
ADD-82,Naples,TH,131532
ADD-83,Xiacang,SG,303839
ADD-84,Sepanjang,ID,310409
ADD-85,Datagon,SG,216352
ADD-86,Cireundang,UK,278186
ADD-87,Batasan,ID,488188
ADD-88,Crossfield,CN,378696
ADD-89,Narimanov,TH,292254
ADD-90,Birmingham,US,477593
ADD-91,Paitan Este,TH,321513
ADD-92,Byera Village,SG,215197
ADD-93,Kurunegala,SG,212334
ADD-94,Emiliano Zapata,TH,546623
ADD-95,Tarikolot,ID,285193
ADD-96,Camagüey,TH,202144
ADD-97,Cisaro,UK,227827
ADD-98,Ballymun,MY,595583
ADD-99,Springfield,TH,624156
ADD-100,Atsipópoulon,CN,293657
ADD-101,Zavoronezhskoye,PH,513960
ADD-102,Kulutan,TH,495618
ADD-103,Starodub,TH,363079
ADD-104,Dunyāpur,TH,286277
ADD-105,Örebro,TH,170431
ADD-106,Décines-Charpieu,PH,401210
ADD-107,Jindong,US,602410
ADD-108,Garunggang,SG,129501
ADD-109,Karangsumber,SG,366486
ADD-110,Huanoquite,US,422096
ADD-111,Mumias,US,456957
ADD-112,Sukakarya,SG,592913
ADD-113,Driyorejo,TH,272857
ADD-114,Turiys’k,UK,128151
ADD-115,Pingding,PH,186807
ADD-116,Banatsko Karađorđevo,MY,333953
ADD-117,Sujiazhuang,PH,555986
ADD-118,Domoni,US,208827
ADD-119,Garbolovo,PH,106290
ADD-120,San Antonio,CN,515421
ADD-121,Lākshām,SG,401015
ADD-122,Aguada de Pasajeros,CN,176554
ADD-123,Sindangbarang,UK,251600
ADD-124,Vityazevo,PH,555231
ADD-125,Longjin,CN,514456
ADD-126,Gandara,MY,642128
ADD-127,Dapchi,TH,332703
ADD-128,Sarlat-la-Canéda,MY,254819
ADD-129,Granard,SG,461355
ADD-130,Salogon,TH,644956
ADD-131,Sacramento,US,513558
ADD-132,Novokuybyshevsk,US,553795
ADD-133,Zliv,CN,499343
ADD-134,Semiluki,CN,529646
ADD-135,Eiriz,PH,142847
ADD-136,Pianling,CN,199674
ADD-137,Laventille,US,139551
ADD-138,Paris 12,MY,520676
ADD-139,Beltinci,SG,355952
ADD-140,Zator,TH,158075
ADD-141,Bhimbar,ID,473610
ADD-142,Criação Velha,MY,629431
ADD-143,Décines-Charpieu,PH,657326
ADD-144,Grosuplje,UK,207747
ADD-145,London,TH,588223
ADD-146,Burujul,SG,492472
ADD-147,Nantes,US,536922
ADD-148,Foúrnoi,SG,653589
ADD-149,Guérande,SG,280025
ADD-150,Changgang,ID,378489
ADD-151,Iguatu,UK,335653
ADD-152,Taraan,MY,232181
ADD-153,Boavista,ID,222367
ADD-154,Huddinge,SG,590336
ADD-155,Rantauambacang,CN,621084
ADD-156,Budagovo,SG,665515
ADD-157,Mandal,PH,313644
ADD-158,Huancheng,UK,368222
ADD-159,Sumberan,SG,597062
ADD-160,Sovetsk,CN,382636
ADD-161,Kristiansand S,PH,308478
ADD-162,Corroios,UK,515749
ADD-163,Ferreñafe,PH,250076
ADD-164,Villa Dolores,TH,182981
ADD-165,Changhua,CN,576911
ADD-166,Corralillo,MY,193719
ADD-167,Breda,CN,658796
